"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-06-20 17:02:44","","PROBLEM","IGN","IGN disapeared from EIDA central routing service","2d 3h 29m","No","Actions (3)","format: json, routing: central"
"Warning","2026-06-19 07:08:18","2026-06-20 17:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","1d 9h 54m","No","Actions (8)","format: xml, routing: central"
"Warning","2026-06-17 05:08:17","2026-06-17 07:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-06-17 05:08:16","2026-06-17 07:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-06-17 05:08:15","2026-06-17 07:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-06-17 05:08:14","2026-06-17 07:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-06-17 05:08:13","2026-06-17 07:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-06-17 05:08:12","2026-06-17 07:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (10)","Application: routing_service, format: xml, node: odc, routing: central"
"Warning","2026-06-15 07:08:18","2026-06-16 07:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","23h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-06-14 17:02:45","2026-06-15 17:02:45","RESOLVED","NOA","NOA disapeared from EIDA central routing service","1d","No","Actions (6)","format: json, routing: central"
"Average","2026-06-14 07:19:26","2026-06-15 05:09:15","RESOLVED","NOA","Routing Virtual Network configuration not present","21h 49m 49s","No","Actions (6)","routing: central, routing: _ADARRAY"
